,0
276,<(A388) A7-APD - Altitude: 36004 - Ground Speed: 501 - Heading: 307>
277,<(A359) EC-NIG - Altitude: 40000 - Ground Speed: 480 - Heading: 225>
278,<(B77W) F-GSQT - Altitude: 3700 - Ground Speed: 173 - Heading: 100>
279,<(B789) N824AN - Altitude: 37975 - Ground Speed: 452 - Heading: 214>
280,<(GLID) F-JJVJ - Altitude: 803 - Ground Speed: 0 - Heading: 0>
281,<(B772) N223UA - Altitude: 13425 - Ground Speed: 221 - Heading: 249>
282,<(B789) G-ZBKS - Altitude: 39975 - Ground Speed: 479 - Heading: 195>
283,<(B77L) D-ALFD - Altitude: 8900 - Ground Speed: 282 - Heading: 79>
284,<(A333) 9M-MTA - Altitude: 0 - Ground Speed: 11 - Heading: 171>
285,<(B77W) A6-ETQ - Altitude: 34000 - Ground Speed: 501 - Heading: 305>
286,<(B764) N76065 - Altitude: 6775 - Ground Speed: 247 - Heading: 197>
287,<(B789) VH-ZNF - Altitude: 38000 - Ground Speed: 490 - Heading: 320>
288,<(B789) SE-RFZ - Altitude: 36975 - Ground Speed: 518 - Heading: 230>
289,<(B789) VN-A864 - Altitude: 38975 - Ground Speed: 542 - Heading: 126>
290,<(A333) N816NW - Altitude: 38000 - Ground Speed: 462 - Heading: 206>
291,<(A388) G-XLEJ - Altitude: 40000 - Ground Speed: 405 - Heading: 247>
292,<(A332) EC-MUD - Altitude: 37000 - Ground Speed: 523 - Heading: 206>
293,<(B788) N870AX - Altitude: 38000 - Ground Speed: 430 - Heading: 253>
294,<(B77W) F-GZND - Altitude: 34000 - Ground Speed: 471 - Heading: 243>
295,<(A333) D-ACVG - Altitude: 8350 - Ground Speed: 255 - Heading: 249>
296,<(A332) 9M-MTW - Altitude: 22700 - Ground Speed: 385 - Heading: 251>
297,<(B789) G-TUIJ - Altitude: 41600 - Ground Speed: 452 - Heading: 221>
298,<(B77L) TC-LJR - Altitude: 34000 - Ground Speed: 404 - Heading: 286>
299,<(B77W) HL8007 - Altitude: 35000 - Ground Speed: 583 - Heading: 97>
300,<(A359) 9V-SMP - Altitude: 41000 - Ground Speed: 490 - Heading: 135>
301,<(B788) PH-TFM - Altitude: 40975 - Ground Speed: 416 - Heading: 210>
302,<(B789) C-FSBV - Altitude: 38975 - Ground Speed: 547 - Heading: 121>
303,<(A359) B-18910 - Altitude: 26575 - Ground Speed: 442 - Heading: 350>
304,<(B788) G-TUIA - Altitude: 1550 - Ground Speed: 169 - Heading: 82>
305,<(B789) ZK-NZC - Altitude: 39000 - Ground Speed: 548 - Heading: 117>
306,<(A333) D-AIKA - Altitude: 38996 - Ground Speed: 521 - Heading: 235>
307,<(A332) D-AXGB - Altitude: 39000 - Ground Speed: 511 - Heading: 182>
308,<(A339) N411DX - Altitude: 34000 - Ground Speed: 492 - Heading: 271>
309,<(A333) LN-RKS - Altitude: 0 - Ground Speed: 4 - Heading: 241>
310,<(A359) D-AIXQ - Altitude: 40000 - Ground Speed: 458 - Heading: 216>
311,<(GLEX) 9H-VJY - Altitude: 45000 - Ground Speed: 432 - Heading: 228>
312,<(B748) B-LJN - Altitude: 40000 - Ground Speed: 359 - Heading: 233>
313,<(BCS3) C-GWUQ - Altitude: 1075 - Ground Speed: 141 - Heading: 263>
314,<(A388) 9V-SKV - Altitude: 39000 - Ground Speed: 523 - Heading: 134>
315,<(A339) PR-ANZ - Altitude: 38000 - Ground Speed: 452 - Heading: 213>
316,<(0000) N156JS - Altitude: 0 - Ground Speed: 0 - Heading: 84>
317,<(A359) D-AIXN - Altitude: 38000 - Ground Speed: 445 - Heading: 216>
318,<(A359) ET-ATR - Altitude: 37100 - Ground Speed: 482 - Heading: 102>
319,<(B77L) N879FD - Altitude: 7150 - Ground Speed: 278 - Heading: 100>
320,<(B789) B-17881 - Altitude: 39000 - Ground Speed: 556 - Heading: 96>
321,<(B772) G-YMMF - Altitude: 26725 - Ground Speed: 438 - Heading: 250>
322,<(B77W) B-KPX - Altitude: 35100 - Ground Speed: 510 - Heading: 117>
323,<(B788) G-ZBJA - Altitude: 9750 - Ground Speed: 287 - Heading: 128>
324,<(B77W) F-GSQR - Altitude: 35000 - Ground Speed: 460 - Heading: 220>
325,<(A332) RA-73688 - Altitude: 36000 - Ground Speed: 484 - Heading: 228>
326,<(B77W) TC-LJH - Altitude: 33996 - Ground Speed: 503 - Heading: 263>
